Temp,FR,Pop,Year
17,0.109,CO,1972
17,0.05,CO,1972
17,0.055,CO,1972
18,0.06,CO,1972
18,0.1,CO,1972
18,0.108,CO,1972
18,0.138,CO,1972
19,0.124,CO,1972
19,0.135,CO,1972
20,0.143,CO,1972
21,0.139,CO,1972
21,0.179,CO,1972
21,0.183,CO,1972
22,0.168,CO,1972
22,0.175,CO,1972
22,0.185,CO,1972
23,0.186,CO,1972
23,0.197,CO,1972
23,0.226,CO,1972
24,0.151,CO,1972
24,0.197,CO,1972
24,0.205,CO,1972
25,0.223,CO,1972
25,0.211,CO,1972
25,0.205,CO,1972
25,0.196,CO,1972
25,0.186,CO,1972
26,0.147,CO,1972
26,0.177,CO,1972
26,0.188,CO,1972
26,0.201,CO,1972
27,0.186,CO,1972
27,0.172,CO,1972
27,0.161,CO,1972
28,0.178,CO,1972
28,0.164,CO,1972
28,0.129,CO,1972
15,0,CO,1972
29,0,CO,1972
20,0.185,CA,1972
20,0.169,CA,1972
20,0.163,CA,1972
20,0.161,CA,1972
20,0.161,CA,1972
20,0.154,CA,1972
20,0.141,CA,1972
20,0.141,CA,1972
20,0.129,CA,1972
20,0.114,CA,1972
20,0.05,CA,1972
21,0.135,CA,1972
21,0.149,CA,1972
21,0.156,CA,1972
21,0.174,CA,1972
21,0.174,CA,1972
21,0.174,CA,1972
23,0.232,CA,1972
23,0.199,CA,1972
23,0.175,CA,1972
24,0.211,CA,1972
24,0.217,CA,1972
24,0.174,CA,1972
24,0.143,CA,1972
25,0.308,CA,1972
25,0.289,CA,1972
25,0.284,CA,1972
25,0.284,CA,1972
25,0.277,CA,1972
25,0.265,CA,1972
25,0.265,CA,1972
25,0.26,CA,1972
25,0.253,CA,1972
25,0.245,CA,1972
25,0.241,CA,1972
25,0.234,CA,1972
25,0.229,CA,1972
25,0.223,CA,1972
25,0.204,CA,1972
25,0.186,CA,1972
26,0.211,CA,1972
26,0.226,CA,1972
26,0.232,CA,1972
26,0.248,CA,1972
26,0.248,CA,1972
26,0.248,CA,1972
26,0.253,CA,1972
26,0.258,CA,1972
26,0.27,CA,1972
26,0.275,CA,1972
26,0.282,CA,1972
26,0.299,CA,1972
26,0.33,CA,1972
27,0.313,CA,1972
27,0.298,CA,1972
27,0.283,CA,1972
27,0.277,CA,1972
27,0.271,CA,1972
27,0.271,CA,1972
27,0.259,CA,1972
27,0.237,CA,1972
27,0.195,CA,1972
27,0.188,CA,1972
28,0.314,CA,1972
28,0.3,CA,1972
28,0.283,CA,1972
28,0.283,CA,1972
28,0.283,CA,1972
28,0.274,CA,1972
28,0.274,CA,1972
28,0.269,CA,1972
28,0.263,CA,1972
28,0.263,CA,1972
28,0.257,CA,1972
28,0.252,CA,1972
28,0.246,CA,1972
28,0.246,CA,1972
29,0.323,CA,1972
29,0.303,CA,1972
29,0.297,CA,1972
29,0.285,CA,1972
29,0.273,CA,1972
29,0.26,CA,1972
29,0.241,CA,1972
29,0.231,CA,1972
29,0.218,CA,1972
30,0.111,CA,1972
30,0.173,CA,1972
30,0.22,CA,1972
30,0.225,CA,1972
30,0.25,CA,1972
30,0.25,CA,1972
30,0.26,CA,1972
30,0.267,CA,1972
31,0.171,CA,1972
31,0.197,CA,1972
31,0.207,CA,1972
31,0.218,CA,1972
31,0.224,CA,1972
31,0.233,CA,1972
32,0,CA,1972
16,0,CA,1972
