ID,Trial,Fam,Temp,lnTMG,pop
OL16A1,2,6OL,18,0.136836916,OL
OL16A1,3,6OL,26,0.214434749,OL
OL16A1,1,6OL,27,0.095546043,OL
OL16A11,2,6OL,21,0.134613173,OL
OL16A11,1,6OL,25,0.289277211,OL
OL16A12,2,6OL,18,0.063771952,OL
OL16A12,1,6OL,26,0.183008302,OL
OL16A2,2,6OL,18,0.197562556,OL
OL16A2,3,6OL,26,0.142759184,OL
OL16A2,1,6OL,27,0.243203746,OL
OL16A2,4,6OL,33,0,OL
OL16A3,2,6OL,18,0.11575991,OL
OL16A3,3,6OL,26,0.097268269,OL
OL16A3,1,6OL,27,0.185800479,OL
OL16A4,2,6OL,18,0.106179744,OL
OL16A4,3,6OL,26,0.211041205,OL
OL16A4,1,6OL,27,0.204735272,OL
OL16A4,4,6OL,33,0.008363839,OL
OL16A5,2,6OL,18,0.177923313,OL
OL16A5,3,6OL,26,0.187434547,OL
OL16A5,1,6OL,27,0.12025506,OL
OL16A6,2,6OL,29,0.125071339,OL
OL16A6,1,6OL,27,0.203290527,OL
OL16A6,3,6OL,26,0.031129033,OL
OL16A7,2,6OL,18,0.178692284,OL
OL16A7,3,6OL,26,0.208317414,OL
OL16A7,1,6OL,27,0.162371539,OL
OL16A8,2,6OL,29,0.140291212,OL
OL16A8,1,6OL,27,0.246033875,OL
OL16A9,2,6OL,29,-0.032675041,OL
OL16A9,1,6OL,27,0,OL
OL16E1,2,6OL,21,0.135936829,OL
OL16E1,1,6OL,25,0.123355115,OL
OL16E2,2,6OL,29,0.186145307,OL
OL16E2,1,6OL,27,0.191384381,OL
OL16E3,1,6OL,24,0.018844343,OL
OL16E4,2,6OL,21,0.132684451,OL
OL16E4,1,6OL,25,0.147193831,OL
OL23B1,3,7OL,27,0.114706425,OL
OL23B1,2,7OL,21,0.17758484,OL
OL23B1,1,7OL,25,0.202398975,OL
OL23B2,2,7OL,18,0.180373535,OL
OL23B2,1,7OL,27,0.182454535,OL
OL23B3,1,7OL,27,0.164214331,OL
OL24A1,2,8OL,29,0.195524777,OL
OL24A1,3,8OL,16,-0.003959091,OL
