Row_Num,Species,Population,Study Site,UniID,Mom,ID,Mi,RGR11,RGR17,RGR23,RGR29,RGR35,Pupated,Time to Pupation,Pupa wt,Eclosed,Time to Eclosion,Sex,Butt. Wt,Fecundity
1,Pieris_rapae,Seattle_WA,CUH_UW,1.5,1,5,8.26,0.001601798,NA,0.010500242,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2,Pieris_rapae,Seattle_WA,CUH_UW,1.7,1,7,15.08,NA,0.008913972,0.008515616,NA,0.024386483,0,NA,NA,0,NA,NA,NA,NA
3,Pieris_rapae,Seattle_WA,CUH_UW,1.10,1,10,40.74,0.003864534,NA,0.025813495,0.011734173,0.023317411,0,NA,NA,0,NA,NA,NA,NA
4,Pieris_rapae,Seattle_WA,CUH_UW,1.11,1,11,12.81,NA,0.013866497,0.008657248,NA,0.00583782,0,NA,NA,0,NA,NA,NA,NA
5,Pieris_rapae,Seattle_WA,CUH_UW,2.1,2,1,35.39,0.006606469,0.011713959,0.021041406,0.019557312,0.025863226,1,8,207.23,1,14,F,87.33,NA
6,Pieris_rapae,Seattle_WA,CUH_UW,2.2,2,2,35.43,0.005553538,0.011374211,0.016197428,0.020252617,0.031578762,0,NA,NA,0,NA,NA,NA,NA
7,Pieris_rapae,Seattle_WA,CUH_UW,2.3,2,3,45.53,0.006155405,NA,0.014364524,0.022407186,0.027368262,1,8,144.72,1,14,F,104.44,NA
8,Pieris_rapae,Seattle_WA,CUH_UW,2.4,2,4,39.63,0.004235513,NA,0.021654542,0.036650361,0.020531275,0,NA,NA,0,NA,NA,NA,NA
9,Pieris_rapae,Seattle_WA,CUH_UW,2.5,2,5,30.42,0.007620678,0.010514008,0.014655947,0.013873843,0.032329655,0,NA,NA,0,NA,NA,NA,NA
10,Pieris_rapae,Seattle_WA,CUH_UW,2.6,2,6,31.51,0.00445804,0.011047628,0.012364488,0.019602208,0.030006986,1,8,151.43,1,14,F,93.02,NA
11,Pieris_rapae,Seattle_WA,CUH_UW,2.7,2,7,33.28,0.004226643,0.007706356,0.021397014,0.032290488,0.012909513,0,NA,NA,0,NA,NA,NA,NA
12,Pieris_rapae,Seattle_WA,CUH_UW,2.8,2,8,35.88,0.006227255,0.009238474,0.014116284,0.016372255,0.026541274,0,NA,NA,0,NA,NA,NA,NA
13,Pieris_rapae,Seattle_WA,CUH_UW,2.9,2,9,35.25,0.006101671,0.011365146,0.01789483,0.014685456,0.025414184,0,NA,NA,0,NA,NA,NA,NA
14,Pieris_rapae,Seattle_WA,CUH_UW,2.10,2,10,42.25,0.005410017,NA,0.023514547,0.013436853,0.03179579,1,8,169.48,1,16,M,67.21,NA
15,Pieris_rapae,Seattle_WA,CUH_UW,2.11,2,11,39.23,0.006363025,NA,0.018728484,0.020827071,0.030031933,0,NA,NA,0,NA,NA,NA,NA
16,Pieris_rapae,Seattle_WA,CUH_UW,2.12,2,12,40.4,0.008098462,NA,0.013948433,0.019104093,0.020827548,0,NA,NA,0,NA,NA,NA,NA
17,Pieris_rapae,Seattle_WA,CUH_UW,2.13,2,13,40.84,0.010352857,NA,0.00986259,0.009087886,0.034943403,0,NA,NA,0,NA,NA,NA,NA
18,Pieris_rapae,Seattle_WA,CUH_UW,2.14,2,14,32.93,0.00756469,0.013406317,0.017160768,0.01593676,0.02717928,1,13,210.37,1,22,M,162.98,NA
19,Pieris_rapae,Seattle_WA,CUH_UW,4.1,4,1,42.24,0.004171021,NA,0.025468807,0.021974004,0.01052474,1,13,185.19,1,25,M,75.14,NA
20,Pieris_rapae,Seattle_WA,CUH_UW,4.2,4,2,42.11,0.008935979,NA,0.015693209,0.016467408,0.030164146,1,11,162.56,1,19,F,91.16,37
21,Pieris_rapae,Seattle_WA,CUH_UW,4.3,4,3,39.87,0.005062878,NA,0.022327171,0.022689801,0.021257018,1,11,174.01,1,17,M,71.78,NA
22,Pieris_rapae,Seattle_WA,CUH_UW,4.4,4,4,39.49,0.004055968,NA,0.015658643,0.023973076,0.024656548,0,NA,NA,0,NA,NA,NA,NA
23,Pieris_rapae,Seattle_WA,CUH_UW,4.5,4,5,35.06,-0.000869549,0.007818002,0.018939963,0.022587953,0.022766646,1,11,196.51,1,16,M,87.87,NA
24,Pieris_rapae,Seattle_WA,CUH_UW,4.6,4,6,37.53,0.005975306,0.007238744,0.020297491,0.012875152,0.026338149,1,8,183.12,1,16,NA,NA,NA
25,Pieris_rapae,Seattle_WA,CUH_UW,4.7,4,7,51.81,0.00697425,NA,0.016024505,0.014563553,0.034379218,0,NA,NA,0,NA,NA,NA,NA
26,Pieris_rapae,Seattle_WA,CUH_UW,4.8,4,8,44.82,0.003484912,NA,0.015229308,0.024509617,0.031386261,0,NA,NA,0,NA,NA,NA,NA
27,Pieris_rapae,Seattle_WA,CUH_UW,4.9,4,9,36.43,0.005254793,0.010417679,0.014309027,0.020394233,0.027432866,1,11,195.78,1,19,F,97.03,52
28,Pieris_rapae,Seattle_WA,CUH_UW,4.10,4,10,40.41,0.003402436,NA,0.019721654,0.025441302,0.024375317,0,NA,NA,0,NA,NA,NA,NA
29,Pieris_rapae,Seattle_WA,CUH_UW,4.11,4,11,40.81,0.005937552,NA,0.010071093,0.030864174,0.021520717,1,8,172.75,1,14,F,82.04,NA
30,Pieris_rapae,Seattle_WA,CUH_UW,4.12,4,12,31.72,0.003488718,0.004371159,0.014553316,0.024823875,0.032481875,0,NA,NA,0,NA,NA,NA,NA
31,Pieris_rapae,Seattle_WA,CUH_UW,4.13,4,13,33.06,-0.000667753,0.007711169,0.023727269,0.024726611,0.027540433,0,NA,NA,0,NA,NA,NA,NA
32,Pieris_rapae,Seattle_WA,CUH_UW,4.14,4,14,41.32,0.005305575,0.004204776,0.019719353,0.028076014,0.033692633,1,10,208.69,1,18,M,106.13,NA
33,Pieris_rapae,Seattle_WA,CUH_UW,4.15,4,15,32.45,0.005224934,0.00643336,0.019072545,0.026908392,0.02995818,0,NA,NA,0,NA,NA,NA,NA
34,Pieris_rapae,Seattle_WA,CUH_UW,7.1,7,1,28.16,0.001158569,0.012647745,0.01705179,0.011825418,0.035873365,1,14,175.17,1,20,M,75.7,NA
35,Pieris_rapae,Seattle_WA,CUH_UW,7.2,7,2,31.04,0.005804152,0.012786108,0.013411887,0.019180834,0.019667098,0,NA,NA,0,NA,NA,NA,NA
36,Pieris_rapae,Seattle_WA,CUH_UW,7.3,7,3,21.84,0.003674252,0.013936222,NA,0.01835498,0.035335742,1,9,184.82,1,16,F,82.02,NA
37,Pieris_rapae,Seattle_WA,CUH_UW,7.4,7,4,23.28,0.005782821,0.014131242,NA,0.014013451,0.03262811,1,14,187.75,1,23,F,106.41,31
38,Pieris_rapae,Seattle_WA,CUH_UW,7.5,7,5,35.6,0.0043412,0.012305517,0.015534157,0.023782591,0.027236944,0,NA,NA,0,NA,NA,NA,NA
39,Pieris_rapae,Seattle_WA,CUH_UW,7.6,7,6,39.16,0.005206138,0.010542401,0.017387574,0.023660637,0.031688613,0,NA,NA,0,NA,NA,NA,NA
